individual_id,filename,captured_at,lat,lon,zone,image_url
WT-153,001332.jpg,2026-04-27 21:04:32,44.723104,136.086913,Bikin Valley,ml/datasets/processed/WT-153/001332.jpg
WT-153,001376.jpg,2026-05-01 10:38:34,45.939361,137.42972,Sikhote-Alin Central,ml/datasets/processed/WT-153/001376.jpg
WT-153,001410.jpg,2026-05-03 21:52:43,45.515363,135.266027,Sikhote-Alin South,ml/datasets/processed/WT-153/001410.jpg
WT-153,001491.jpg,2026-05-06 19:27:33,44.897822,135.934785,Sikhote-Alin Central,ml/datasets/processed/WT-153/001491.jpg
WT-153,001513.jpg,2026-05-08 13:22:27,45.578758,136.946566,Olga Reserve,ml/datasets/processed/WT-153/001513.jpg
WT-153,001590.jpg,2026-05-11 19:51:30,45.477211,135.279669,Sikhote-Alin South,ml/datasets/processed/WT-153/001590.jpg
WT-153,001676.jpg,2026-05-13 19:25:03,46.257444,137.079164,Sikhote-Alin South,ml/datasets/processed/WT-153/001676.jpg
WT-153,001750.jpg,2026-05-16 06:55:53,45.634714,135.196893,Bikin Valley,ml/datasets/processed/WT-153/001750.jpg
WT-153,001839.jpg,2026-05-19 06:03:51,46.132047,137.444961,Olga Reserve,ml/datasets/processed/WT-153/001839.jpg
WT-153,001952.jpg,2026-05-21 17:37:37,45.450565,136.374509,Sikhote-Alin South,ml/datasets/processed/WT-153/001952.jpg
WT-153,001994.jpg,2026-05-23 19:33:03,45.555348,136.516485,Sikhote-Alin Central,ml/datasets/processed/WT-153/001994.jpg
WT-153,002009.jpg,2026-05-27 07:39:40,45.879735,136.782372,Bikin Valley,ml/datasets/processed/WT-153/002009.jpg
WT-153,002019.jpg,2026-05-29 06:10:24,46.490299,136.624695,Bikin Valley,ml/datasets/processed/WT-153/002019.jpg
WT-153,002055.jpg,2026-06-01 07:43:49,44.995811,135.160065,Sikhote-Alin North,ml/datasets/processed/WT-153/002055.jpg
WT-153,002200.jpg,2026-06-03 07:33:35,45.676617,135.575287,Sikhote-Alin Central,ml/datasets/processed/WT-153/002200.jpg
WT-153,002260.jpg,2026-06-06 20:34:31,44.617748,135.168501,Sikhote-Alin North,ml/datasets/processed/WT-153/002260.jpg
WT-153,002320.jpg,2026-06-09 08:27:13,46.219271,135.177143,Sikhote-Alin Central,ml/datasets/processed/WT-153/002320.jpg
WT-153,002322.jpg,2026-06-11 15:41:41,45.578468,136.808381,Olga Reserve,ml/datasets/processed/WT-153/002322.jpg
WT-153,002503.jpg,2026-06-14 21:26:21,45.652423,135.607493,Bikin Valley,ml/datasets/processed/WT-153/002503.jpg
WT-153,002535.jpg,2026-06-17 11:59:11,44.693862,136.077628,Bikin Valley,ml/datasets/processed/WT-153/002535.jpg
WT-153,002646.jpg,2026-06-19 12:27:35,45.322205,137.159592,Sikhote-Alin North,ml/datasets/processed/WT-153/002646.jpg
WT-153,002651.jpg,2026-06-21 00:44:39,44.696836,136.006553,Sikhote-Alin South,ml/datasets/processed/WT-153/002651.jpg
WT-153,002728.jpg,2026-06-21 16:33:29,46.101185,135.273173,Sikhote-Alin Central,ml/datasets/processed/WT-153/002728.jpg
WT-153,002739.jpg,2026-06-24 09:58:18,45.343763,135.696363,Sikhote-Alin Central,ml/datasets/processed/WT-153/002739.jpg
WT-153,002936.jpg,2026-06-27 13:42:46,46.248972,135.188462,Olga Reserve,ml/datasets/processed/WT-153/002936.jpg
WT-153,002943.jpg,2026-06-30 20:20:21,45.581176,135.036895,Sikhote-Alin North,ml/datasets/processed/WT-153/002943.jpg
WT-153,002978.jpg,2026-07-03 21:07:00,46.352734,137.121739,Sikhote-Alin Central,ml/datasets/processed/WT-153/002978.jpg
WT-153,002992.jpg,2026-07-05 15:47:12,46.229301,137.256107,Sikhote-Alin Central,ml/datasets/processed/WT-153/002992.jpg
WT-153,003027.jpg,2026-07-08 13:09:12,45.257946,137.463272,Sikhote-Alin South,ml/datasets/processed/WT-153/003027.jpg
WT-153,003096.jpg,2026-07-12 02:13:06,45.070498,136.741479,Olga Reserve,ml/datasets/processed/WT-153/003096.jpg
WT-153,003186.jpg,2026-07-13 23:46:54,45.823743,136.216679,Sikhote-Alin Central,ml/datasets/processed/WT-153/003186.jpg
WT-153,003219.jpg,2026-07-15 21:40:37,45.658361,136.355488,Sikhote-Alin South,ml/datasets/processed/WT-153/003219.jpg
WT-153,003257.jpg,2026-07-20 02:41:46,44.614331,136.460444,Olga Reserve,ml/datasets/processed/WT-153/003257.jpg
WT-153,003297.jpg,2026-07-23 07:27:54,44.613759,136.269571,Sikhote-Alin Central,ml/datasets/processed/WT-153/003297.jpg
WT-153,003343.jpg,2026-07-25 08:07:19,44.637043,135.169902,Sikhote-Alin Central,ml/datasets/processed/WT-153/003343.jpg
WT-153,003354.jpg,2026-07-26 09:51:58,45.639351,136.447298,Sikhote-Alin North,ml/datasets/processed/WT-153/003354.jpg
WT-153,003386.jpg,2026-07-29 19:18:53,45.738763,136.048062,Olga Reserve,ml/datasets/processed/WT-153/003386.jpg
WT-153,003437.jpg,2026-07-31 16:33:49,45.021531,136.674315,Sikhote-Alin South,ml/datasets/processed/WT-153/003437.jpg
WT-153,003530.jpg,2026-08-02 21:24:47,44.977372,135.989465,Sikhote-Alin South,ml/datasets/processed/WT-153/003530.jpg
WT-153,003540.jpg,2026-08-03 18:50:44,46.371469,135.023289,Olga Reserve,ml/datasets/processed/WT-153/003540.jpg
WT-153,003607.jpg,2026-08-06 15:47:40,46.496909,137.490241,Sikhote-Alin North,ml/datasets/processed/WT-153/003607.jpg
WT-153,003696.jpg,2026-08-08 07:05:20,44.764913,135.872522,Sikhote-Alin North,ml/datasets/processed/WT-153/003696.jpg
WT-153,003800.jpg,2026-08-10 13:06:12,46.25854,135.923818,Sikhote-Alin Central,ml/datasets/processed/WT-153/003800.jpg
WT-153,003829.jpg,2026-08-12 04:19:36,45.105034,137.459633,Olga Reserve,ml/datasets/processed/WT-153/003829.jpg
WT-153,003844.jpg,2026-08-14 22:58:44,44.515646,137.04276,Sikhote-Alin South,ml/datasets/processed/WT-153/003844.jpg
WT-153,003944.jpg,2026-08-17 16:48:44,46.256254,135.661165,Sikhote-Alin North,ml/datasets/processed/WT-153/003944.jpg
WT-153,004016.jpg,2026-08-20 00:14:00,45.984833,135.38862,Sikhote-Alin South,ml/datasets/processed/WT-153/004016.jpg
WT-153,004042.jpg,2026-08-21 13:47:36,44.907195,136.585595,Sikhote-Alin South,ml/datasets/processed/WT-153/004042.jpg
WT-153,004109.jpg,2026-08-23 08:07:45,45.510818,135.627803,Sikhote-Alin North,ml/datasets/processed/WT-153/004109.jpg
WT-153,004124.jpg,2026-08-26 09:34:06,45.05336,135.008864,Sikhote-Alin Central,ml/datasets/processed/WT-153/004124.jpg
WT-153,004125.jpg,2026-08-29 05:55:09,45.774227,135.654888,Bikin Valley,ml/datasets/processed/WT-153/004125.jpg
WT-153,004219.jpg,2026-08-30 23:47:08,44.519339,135.18811,Sikhote-Alin Central,ml/datasets/processed/WT-153/004219.jpg
WT-153,004239.jpg,2026-09-02 04:48:39,45.591181,137.086488,Olga Reserve,ml/datasets/processed/WT-153/004239.jpg
WT-153,004263.jpg,2026-09-03 22:39:09,44.583658,135.911629,Sikhote-Alin North,ml/datasets/processed/WT-153/004263.jpg
WT-153,004275.jpg,2026-09-06 03:34:10,46.297849,135.525191,Sikhote-Alin Central,ml/datasets/processed/WT-153/004275.jpg
WT-153,004295.jpg,2026-09-08 06:25:55,45.619767,137.186782,Olga Reserve,ml/datasets/processed/WT-153/004295.jpg
WT-153,004348.jpg,2026-09-10 03:30:48,45.998955,137.31441,Sikhote-Alin Central,ml/datasets/processed/WT-153/004348.jpg
WT-153,004419.jpg,2026-09-13 20:29:40,46.121543,137.203541,Sikhote-Alin North,ml/datasets/processed/WT-153/004419.jpg
WT-153,004433.jpg,2026-09-14 20:38:57,44.858721,137.311218,Bikin Valley,ml/datasets/processed/WT-153/004433.jpg
WT-153,004444.jpg,2026-09-17 18:09:20,46.121499,135.667014,Sikhote-Alin North,ml/datasets/processed/WT-153/004444.jpg
WT-153,004467.jpg,2026-09-18 21:04:19,45.265083,135.096812,Bikin Valley,ml/datasets/processed/WT-153/004467.jpg
WT-153,004597.jpg,2026-09-21 13:05:32,45.420606,135.762977,Sikhote-Alin Central,ml/datasets/processed/WT-153/004597.jpg
WT-153,004613.jpg,2026-09-25 06:15:30,44.945847,136.650083,Bikin Valley,ml/datasets/processed/WT-153/004613.jpg
WT-153,004622.jpg,2026-09-27 01:05:27,46.433778,135.697812,Olga Reserve,ml/datasets/processed/WT-153/004622.jpg
WT-153,004739.jpg,2026-09-30 17:22:50,45.299357,137.452874,Olga Reserve,ml/datasets/processed/WT-153/004739.jpg
WT-153,004808.jpg,2026-10-03 02:07:42,46.254077,135.653038,Olga Reserve,ml/datasets/processed/WT-153/004808.jpg
WT-153,004833.jpg,2026-10-05 16:17:07,46.425069,135.663666,Sikhote-Alin North,ml/datasets/processed/WT-153/004833.jpg
WT-153,004876.jpg,2026-10-07 14:15:42,46.072856,136.090985,Olga Reserve,ml/datasets/processed/WT-153/004876.jpg
WT-153,004911.jpg,2026-10-09 16:07:34,44.731292,137.248762,Sikhote-Alin Central,ml/datasets/processed/WT-153/004911.jpg
WT-153,004936.jpg,2026-10-12 02:01:51,44.503383,137.313938,Olga Reserve,ml/datasets/processed/WT-153/004936.jpg
WT-153,005023.jpg,2026-10-15 15:05:47,45.873714,137.350658,Sikhote-Alin Central,ml/datasets/processed/WT-153/005023.jpg
WT-160,000100.jpg,2026-01-29 05:18:01,45.746311,136.658469,Sikhote-Alin North,ml/datasets/processed/WT-160/000100.jpg
WT-160,000232.jpg,2026-02-01 10:45:37,45.939509,135.750806,Sikhote-Alin South,ml/datasets/processed/WT-160/000232.jpg
WT-160,000257.jpg,2026-02-04 20:43:09,45.894417,136.386031,Sikhote-Alin Central,ml/datasets/processed/WT-160/000257.jpg
WT-160,000311.jpg,2026-02-08 01:11:05,45.340893,137.350909,Sikhote-Alin Central,ml/datasets/processed/WT-160/000311.jpg
WT-160,000342.jpg,2026-02-11 07:57:21,45.595874,135.001015,Sikhote-Alin South,ml/datasets/processed/WT-160/000342.jpg
WT-160,000355.jpg,2026-02-14 15:55:29,44.920365,136.964397,Olga Reserve,ml/datasets/processed/WT-160/000355.jpg
WT-160,000372.jpg,2026-02-17 22:44:20,45.38432,135.534254,Bikin Valley,ml/datasets/processed/WT-160/000372.jpg
WT-160,000387.jpg,2026-02-21 00:37:20,46.087471,137.39958,Sikhote-Alin Central,ml/datasets/processed/WT-160/000387.jpg
WT-160,000463.jpg,2026-02-24 10:35:18,45.827708,136.548152,Sikhote-Alin North,ml/datasets/processed/WT-160/000463.jpg
WT-160,000481.jpg,2026-02-27 16:27:25,46.136847,136.877845,Sikhote-Alin South,ml/datasets/processed/WT-160/000481.jpg
WT-160,000521.jpg,2026-03-03 11:38:16,44.548851,135.612106,Bikin Valley,ml/datasets/processed/WT-160/000521.jpg
WT-160,000523.jpg,2026-03-07 16:05:47,45.722548,136.921223,Bikin Valley,ml/datasets/processed/WT-160/000523.jpg
WT-160,000559.jpg,2026-03-10 13:09:31,44.88887,136.740886,Bikin Valley,ml/datasets/processed/WT-160/000559.jpg
WT-160,000626.jpg,2026-03-14 18:41:25,45.299306,135.368928,Sikhote-Alin North,ml/datasets/processed/WT-160/000626.jpg
WT-160,000636.jpg,2026-03-19 14:08:09,46.27093,136.946051,Sikhote-Alin Central,ml/datasets/processed/WT-160/000636.jpg
WT-160,000739.jpg,2026-03-22 10:43:13,44.851773,137.394915,Olga Reserve,ml/datasets/processed/WT-160/000739.jpg
WT-160,000801.jpg,2026-03-25 07:12:17,46.33494,135.303396,Sikhote-Alin Central,ml/datasets/processed/WT-160/000801.jpg
WT-160,000923.jpg,2026-03-29 05:20:52,46.102833,136.668944,Olga Reserve,ml/datasets/processed/WT-160/000923.jpg
WT-160,001099.jpg,2026-03-31 12:48:08,46.282852,136.531631,Olga Reserve,ml/datasets/processed/WT-160/001099.jpg
WT-160,001135.jpg,2026-04-03 06:59:35,45.353482,137.267137,Bikin Valley,ml/datasets/processed/WT-160/001135.jpg
WT-160,001137.jpg,2026-04-07 22:32:03,45.449349,135.647979,Sikhote-Alin Central,ml/datasets/processed/WT-160/001137.jpg
WT-160,001153.jpg,2026-04-10 23:15:16,46.179726,135.693278,Olga Reserve,ml/datasets/processed/WT-160/001153.jpg
WT-160,001193.jpg,2026-04-14 04:17:36,45.379745,136.783862,Sikhote-Alin Central,ml/datasets/processed/WT-160/001193.jpg
WT-160,001301.jpg,2026-04-17 22:53:54,45.04343,135.799274,Olga Reserve,ml/datasets/processed/WT-160/001301.jpg
WT-160,001306.jpg,2026-04-22 00:42:16,45.266071,135.382013,Sikhote-Alin Central,ml/datasets/processed/WT-160/001306.jpg
WT-160,001358.jpg,2026-04-25 22:46:04,44.628458,136.018998,Olga Reserve,ml/datasets/processed/WT-160/001358.jpg
WT-160,001360.jpg,2026-04-29 10:17:09,46.165782,135.973692,Olga Reserve,ml/datasets/processed/WT-160/001360.jpg
WT-160,001389.jpg,2026-05-03 04:58:13,46.392124,135.04883,Olga Reserve,ml/datasets/processed/WT-160/001389.jpg
WT-160,001399.jpg,2026-05-06 21:02:24,45.203518,136.883688,Bikin Valley,ml/datasets/processed/WT-160/001399.jpg
WT-160,001454.jpg,2026-05-10 15:41:31,45.576441,136.836585,Olga Reserve,ml/datasets/processed/WT-160/001454.jpg
WT-160,001485.jpg,2026-05-15 00:40:11,45.045871,136.214105,Bikin Valley,ml/datasets/processed/WT-160/001485.jpg
WT-160,001539.jpg,2026-05-18 06:25:45,45.172259,136.697855,Bikin Valley,ml/datasets/processed/WT-160/001539.jpg
WT-160,001554.jpg,2026-05-21 18:38:04,46.339083,137.451805,Olga Reserve,ml/datasets/processed/WT-160/001554.jpg
WT-160,001560.jpg,2026-05-24 04:16:16,44.553933,135.985051,Olga Reserve,ml/datasets/processed/WT-160/001560.jpg
WT-160,001694.jpg,2026-05-27 18:01:07,45.357226,137.167128,Sikhote-Alin Central,ml/datasets/processed/WT-160/001694.jpg
WT-160,001699.jpg,2026-05-31 05:24:47,44.600569,135.94776,Sikhote-Alin Central,ml/datasets/processed/WT-160/001699.jpg
WT-160,001797.jpg,2026-06-03 08:11:09,46.25928,135.695642,Bikin Valley,ml/datasets/processed/WT-160/001797.jpg
WT-160,001860.jpg,2026-06-07 05:52:16,45.004543,135.204766,Sikhote-Alin North,ml/datasets/processed/WT-160/001860.jpg
WT-160,001881.jpg,2026-06-10 23:14:32,46.403839,135.560555,Sikhote-Alin North,ml/datasets/processed/WT-160/001881.jpg
WT-160,001973.jpg,2026-06-14 11:09:06,46.062466,136.629387,Sikhote-Alin North,ml/datasets/processed/WT-160/001973.jpg
WT-160,001991.jpg,2026-06-18 15:12:09,44.54076,135.380956,Sikhote-Alin Central,ml/datasets/processed/WT-160/001991.jpg
WT-160,002002.jpg,2026-06-22 05:07:09,45.447122,135.285974,Sikhote-Alin Central,ml/datasets/processed/WT-160/002002.jpg
WT-160,002071.jpg,2026-06-25 09:54:27,45.23779,136.514732,Sikhote-Alin North,ml/datasets/processed/WT-160/002071.jpg
WT-160,002119.jpg,2026-06-29 06:07:45,46.055584,135.409415,Sikhote-Alin South,ml/datasets/processed/WT-160/002119.jpg
WT-160,002149.jpg,2026-07-03 02:30:55,45.123914,136.693368,Bikin Valley,ml/datasets/processed/WT-160/002149.jpg
WT-160,002182.jpg,2026-07-06 22:19:38,45.293309,136.787537,Sikhote-Alin North,ml/datasets/processed/WT-160/002182.jpg
WT-160,002238.jpg,2026-07-09 13:13:45,44.985699,136.742983,Sikhote-Alin South,ml/datasets/processed/WT-160/002238.jpg
WT-160,002257.jpg,2026-07-12 13:19:13,46.200586,136.501029,Sikhote-Alin North,ml/datasets/processed/WT-160/002257.jpg
WT-160,002341.jpg,2026-07-16 12:56:27,44.582138,136.331863,Sikhote-Alin South,ml/datasets/processed/WT-160/002341.jpg
WT-160,002425.jpg,2026-07-19 09:33:00,44.637913,136.618858,Sikhote-Alin North,ml/datasets/processed/WT-160/002425.jpg
WT-160,002453.jpg,2026-07-23 21:14:37,44.711078,137.401969,Bikin Valley,ml/datasets/processed/WT-160/002453.jpg
WT-160,002475.jpg,2026-07-26 13:20:01,45.914617,136.088718,Olga Reserve,ml/datasets/processed/WT-160/002475.jpg
WT-160,002527.jpg,2026-07-30 19:45:24,46.116398,136.345432,Bikin Valley,ml/datasets/processed/WT-160/002527.jpg
WT-160,002578.jpg,2026-08-03 10:17:31,45.429748,137.064336,Olga Reserve,ml/datasets/processed/WT-160/002578.jpg
WT-160,002652.jpg,2026-08-06 23:54:40,46.161462,135.216657,Bikin Valley,ml/datasets/processed/WT-160/002652.jpg
WT-160,002729.jpg,2026-08-12 01:55:12,44.987727,136.161771,Olga Reserve,ml/datasets/processed/WT-160/002729.jpg
WT-160,002731.jpg,2026-08-15 11:50:37,45.488613,135.812535,Bikin Valley,ml/datasets/processed/WT-160/002731.jpg
WT-160,002769.jpg,2026-08-18 16:00:00,44.92424,136.994581,Sikhote-Alin South,ml/datasets/processed/WT-160/002769.jpg
WT-160,002867.jpg,2026-08-22 05:12:47,46.260215,136.389478,Olga Reserve,ml/datasets/processed/WT-160/002867.jpg
WT-160,002986.jpg,2026-08-26 20:50:58,46.396125,135.214032,Bikin Valley,ml/datasets/processed/WT-160/002986.jpg
WT-160,003039.jpg,2026-08-29 10:01:12,45.881219,136.614757,Bikin Valley,ml/datasets/processed/WT-160/003039.jpg
WT-160,003042.jpg,2026-09-02 05:27:16,45.396349,135.043108,Sikhote-Alin South,ml/datasets/processed/WT-160/003042.jpg
WT-160,003113.jpg,2026-09-06 03:26:04,45.112412,136.453889,Bikin Valley,ml/datasets/processed/WT-160/003113.jpg
WT-160,003120.jpg,2026-09-10 22:12:18,45.606946,135.859393,Olga Reserve,ml/datasets/processed/WT-160/003120.jpg
WT-160,003147.jpg,2026-09-14 02:53:13,45.041833,135.628509,Sikhote-Alin North,ml/datasets/processed/WT-160/003147.jpg
WT-160,003176.jpg,2026-09-18 19:09:50,45.942569,135.78887,Olga Reserve,ml/datasets/processed/WT-160/003176.jpg
WT-160,003225.jpg,2026-09-23 13:04:16,44.883082,136.846512,Sikhote-Alin South,ml/datasets/processed/WT-160/003225.jpg
WT-160,003358.jpg,2026-09-26 22:39:48,45.94917,137.441518,Olga Reserve,ml/datasets/processed/WT-160/003358.jpg
WT-160,003377.jpg,2026-09-29 01:22:26,46.165257,135.740616,Sikhote-Alin South,ml/datasets/processed/WT-160/003377.jpg
WT-160,003417.jpg,2026-10-01 15:50:27,44.858883,135.035371,Olga Reserve,ml/datasets/processed/WT-160/003417.jpg
WT-160,003548.jpg,2026-10-05 12:50:06,44.609052,135.730342,Sikhote-Alin Central,ml/datasets/processed/WT-160/003548.jpg
WT-160,003557.jpg,2026-10-09 09:54:06,45.775739,136.88198,Sikhote-Alin North,ml/datasets/processed/WT-160/003557.jpg
WT-160,003641.jpg,2026-10-13 18:36:09,45.438794,136.101172,Sikhote-Alin Central,ml/datasets/processed/WT-160/003641.jpg
WT-160,003674.jpg,2026-10-16 20:15:57,46.430995,135.631196,Bikin Valley,ml/datasets/processed/WT-160/003674.jpg
WT-160,003817.jpg,2026-10-20 18:19:36,45.483493,136.442553,Sikhote-Alin North,ml/datasets/processed/WT-160/003817.jpg
WT-160,003826.jpg,2026-10-24 15:47:20,44.803454,137.027855,Sikhote-Alin South,ml/datasets/processed/WT-160/003826.jpg
WT-160,003839.jpg,2026-10-28 20:06:32,45.616146,136.040435,Olga Reserve,ml/datasets/processed/WT-160/003839.jpg
WT-160,003855.jpg,2026-11-01 19:59:08,46.081482,135.564218,Olga Reserve,ml/datasets/processed/WT-160/003855.jpg
WT-160,003861.jpg,2026-11-04 10:32:49,45.094706,136.471313,Bikin Valley,ml/datasets/processed/WT-160/003861.jpg
WT-160,003918.jpg,2026-11-09 05:02:21,45.11076,136.552568,Olga Reserve,ml/datasets/processed/WT-160/003918.jpg
WT-160,003926.jpg,2026-11-13 05:53:04,46.025474,136.563788,Sikhote-Alin South,ml/datasets/processed/WT-160/003926.jpg
WT-160,003933.jpg,2026-11-16 21:23:02,45.820856,135.392643,Sikhote-Alin Central,ml/datasets/processed/WT-160/003933.jpg
WT-160,003968.jpg,2026-11-20 05:30:15,45.317035,136.723428,Bikin Valley,ml/datasets/processed/WT-160/003968.jpg
WT-160,004151.jpg,2026-11-23 19:45:47,45.082519,135.578691,Sikhote-Alin South,ml/datasets/processed/WT-160/004151.jpg
WT-160,004177.jpg,2026-11-27 07:47:13,45.87477,137.309778,Olga Reserve,ml/datasets/processed/WT-160/004177.jpg
WT-160,004195.jpg,2026-11-30 07:30:32,45.822366,137.334171,Bikin Valley,ml/datasets/processed/WT-160/004195.jpg
WT-160,004204.jpg,2026-12-04 09:55:05,44.797979,135.664081,Sikhote-Alin Central,ml/datasets/processed/WT-160/004204.jpg
WT-160,004294.jpg,2026-12-08 11:14:19,44.64282,135.414807,Sikhote-Alin South,ml/datasets/processed/WT-160/004294.jpg
WT-160,004554.jpg,2026-12-11 02:44:15,46.342385,136.097884,Bikin Valley,ml/datasets/processed/WT-160/004554.jpg
WT-160,004761.jpg,2026-12-14 02:31:34,45.877356,136.749334,Sikhote-Alin South,ml/datasets/processed/WT-160/004761.jpg
WT-160,004820.jpg,2026-12-17 00:19:37,44.660884,135.099652,Bikin Valley,ml/datasets/processed/WT-160/004820.jpg
WT-160,004822.jpg,2026-12-20 17:40:24,45.969068,136.509284,Sikhote-Alin North,ml/datasets/processed/WT-160/004822.jpg
WT-160,004828.jpg,2026-12-25 23:08:52,46.171917,136.437998,Sikhote-Alin North,ml/datasets/processed/WT-160/004828.jpg
WT-160,004917.jpg,2026-12-30 15:52:02,46.499145,136.680704,Sikhote-Alin South,ml/datasets/processed/WT-160/004917.jpg
WT-160,005014.jpg,2027-01-02 07:58:10,44.850381,136.29741,Bikin Valley,ml/datasets/processed/WT-160/005014.jpg
WT-160,005048.jpg,2027-01-05 12:13:52,46.332146,135.453723,Olga Reserve,ml/datasets/processed/WT-160/005048.jpg
WT-160,005146.jpg,2027-01-08 01:16:41,46.43811,136.175026,Bikin Valley,ml/datasets/processed/WT-160/005146.jpg
WT-154,000014.jpg,2026-01-25 18:54:22,44.7092,135.402062,Bikin Valley,ml/datasets/processed/WT-154/000014.jpg
WT-154,000212.jpg,2026-01-28 20:55:36,46.390387,137.033915,Olga Reserve,ml/datasets/processed/WT-154/000212.jpg
WT-154,000283.jpg,2026-01-31 14:45:13,44.573394,135.220149,Sikhote-Alin South,ml/datasets/processed/WT-154/000283.jpg
WT-154,000284.jpg,2026-02-03 01:47:27,45.30835,136.286491,Sikhote-Alin North,ml/datasets/processed/WT-154/000284.jpg
WT-154,000423.jpg,2026-02-08 00:30:19,45.815321,136.356484,Bikin Valley,ml/datasets/processed/WT-154/000423.jpg
WT-154,000505.jpg,2026-02-12 02:28:12,45.745268,136.246233,Bikin Valley,ml/datasets/processed/WT-154/000505.jpg
WT-154,000685.jpg,2026-02-15 16:04:32,46.019981,135.508896,Olga Reserve,ml/datasets/processed/WT-154/000685.jpg
WT-154,000696.jpg,2026-02-19 08:18:44,46.261693,136.211779,Sikhote-Alin North,ml/datasets/processed/WT-154/000696.jpg
WT-154,000851.jpg,2026-02-23 01:17:19,46.446294,136.522179,Sikhote-Alin Central,ml/datasets/processed/WT-154/000851.jpg
WT-154,001069.jpg,2026-02-26 04:29:11,44.527349,136.019977,Sikhote-Alin Central,ml/datasets/processed/WT-154/001069.jpg
WT-154,001181.jpg,2026-02-28 21:16:28,46.484514,137.282325,Bikin Valley,ml/datasets/processed/WT-154/001181.jpg
WT-154,001251.jpg,2026-03-05 03:02:01,44.807942,137.331633,Sikhote-Alin South,ml/datasets/processed/WT-154/001251.jpg
WT-154,001305.jpg,2026-03-08 01:55:52,45.517744,135.683562,Bikin Valley,ml/datasets/processed/WT-154/001305.jpg
